state,county,income_mean,poverty_pct,college,female_count,Total_pop,White,Black,Asian,age_median
28.0,151.0,49433.0,33.3,11.5,25068.0,47086.0,12097.0,33982.0,282.0,36.9
28.0,57.0,53717.0,15.4,8.5,11659.0,23480.0,21346.0,1681.0,57.0,40.0
28.0,15.0,57919.0,14.8,9.5,5013.0,10129.0,6523.0,3503.0,0.0,47.0
28.0,43.0,54163.0,24.5,12.4,11175.0,21278.0,11736.0,9238.0,23.0,39.8
28.0,63.0,34501.0,49.7,5.4,3704.0,7346.0,979.0,6310.0,33.0,39.3
28.0,41.0,57615.0,14.5,6.3,5420.0,13714.0,10054.0,3496.0,0.0,39.1
28.0,93.0,55973.0,18.3,10.0,18051.0,35787.0,17657.0,17134.0,24.0,40.2
28.0,119.0,36797.0,35.5,7.7,3896.0,7372.0,2027.0,5282.0,5.0,38.4
28.0,11.0,45259.0,34.6,14.3,17227.0,32592.0,10803.0,20941.0,213.0,35.2
28.0,73.0,75945.0,16.5,22.2,31980.0,61223.0,46763.0,12240.0,780.0,35.4
28.0,81.0,65246.0,15.9,15.3,44389.0,84915.0,57379.0,24653.0,720.0,37.2
28.0,113.0,45150.0,33.8,10.2,20901.0,39737.0,17695.0,21263.0,239.0,37.3
28.0,135.0,47688.0,30.6,7.6,6349.0,14361.0,5082.0,7089.0,206.0,34.6
28.0,129.0,59336.0,16.9,6.7,8216.0,16063.0,12182.0,3706.0,69.0,40.1
28.0,131.0,60077.0,17.1,10.1,9008.0,18375.0,14373.0,3544.0,0.0,37.5
28.0,149.0,58170.0,20.6,14.0,24647.0,47075.0,22859.0,23138.0,241.0,38.8
28.0,23.0,54759.0,19.3,7.9,8485.0,15928.0,10113.0,5696.0,0.0,42.1
28.0,69.0,39622.0,30.0,6.8,4937.0,10107.0,3571.0,6156.0,0.0,41.8
28.0,97.0,50971.0,27.3,14.2,5429.0,10198.0,5398.0,4428.0,34.0,42.1
28.0,105.0,58865.0,30.0,21.3,24618.0,49481.0,28538.0,18344.0,1546.0,25.8
28.0,109.0,59810.0,16.1,11.0,27886.0,55149.0,46341.0,7046.0,183.0,40.9
28.0,79.0,47833.0,25.9,8.2,11337.0,22870.0,11754.0,9608.0,85.0,36.6
28.0,103.0,45589.0,29.5,9.6,5701.0,10828.0,2940.0,7820.0,4.0,36.4
28.0,99.0,52500.0,23.7,7.9,15388.0,29376.0,17673.0,6196.0,136.0,36.8
28.0,121.0,79509.0,8.2,18.4,78199.0,151240.0,115013.0,31003.0,1738.0,37.4
28.0,137.0,64847.0,19.7,12.2,14665.0,28493.0,18908.0,8352.0,52.0,37.6
28.0,77.0,54173.0,19.4,9.0,6500.0,12630.0,8259.0,4193.0,16.0,40.3
28.0,107.0,52156.0,20.9,9.3,17694.0,34243.0,16645.0,17101.0,6.0,37.8
28.0,161.0,49546.0,16.2,10.4,6336.0,12421.0,7220.0,5054.0,8.0,42.6
28.0,17.0,49593.0,21.2,9.3,8948.0,17279.0,9063.0,7505.0,12.0,36.8
28.0,29.0,52386.0,24.0,10.4,15017.0,28721.0,13047.0,14895.0,92.0,38.2
28.0,39.0,61420.0,14.6,7.3,11702.0,23710.0,21185.0,1908.0,98.0,36.3
28.0,49.0,60097.0,22.2,17.1,128897.0,241774.0,62129.0,174698.0,1897.0,34.4
28.0,101.0,55737.0,26.1,12.7,11382.0,21524.0,13436.0,6519.0,110.0,36.6
28.0,145.0,52505.0,15.6,8.9,14414.0,28356.0,22687.0,4172.0,112.0,38.2
28.0,139.0,52623.0,19.7,10.3,11317.0,21990.0,17301.0,3755.0,82.0,39.4
28.0,35.0,55876.0,25.0,16.3,39573.0,75517.0,44901.0,27900.0,678.0,32.4
28.0,45.0,62769.0,17.9,14.8,23874.0,46653.0,40709.0,3776.0,332.0,44.0
28.0,71.0,69037.0,23.8,23.9,27485.0,53459.0,38345.0,12726.0,1117.0,29.9
28.0,87.0,61053.0,22.1,14.6,31072.0,59437.0,31869.0,25961.0,539.0,37.1
28.0,83.0,44123.0,39.2,10.7,15888.0,29804.0,7209.0,21859.0,183.0,33.8
28.0,157.0,36932.0,32.8,8.6,4174.0,8990.0,2517.0,6402.0,7.0,37.5
28.0,47.0,60470.0,20.1,14.1,102876.0,202626.0,138089.0,49879.0,5721.0,36.0
28.0,65.0,42975.0,27.0,7.5,5952.0,11495.0,4360.0,7036.0,20.0,44.3
28.0,85.0,56735.0,22.0,9.9,18177.0,34432.0,23505.0,10700.0,160.0,38.6
28.0,123.0,56890.0,29.0,8.3,14545.0,28415.0,16565.0,10889.0,84.0,36.5
28.0,159.0,59031.0,23.0,11.4,9416.0,18358.0,9241.0,8769.0,6.0,41.6
28.0,163.0,51917.0,32.5,9.6,12431.0,27974.0,10583.0,15929.0,120.0,35.7
28.0,9.0,49735.0,23.4,5.7,4131.0,8253.0,5058.0,2956.0,0.0,40.4
28.0,37.0,56576.0,16.5,10.9,4051.0,7757.0,4926.0,2793.0,3.0,42.1
28.0,61.0,53343.0,23.2,9.7,8481.0,16529.0,7408.0,8997.0,0.0,40.6
28.0,67.0,59064.0,21.4,11.8,35102.0,68454.0,47003.0,19989.0,231.0,37.2
28.0,95.0,56148.0,18.0,11.8,18733.0,35840.0,24396.0,11070.0,30.0,41.2
28.0,133.0,47217.0,31.5,10.1,12605.0,26532.0,6638.0,19623.0,21.0,35.3
28.0,155.0,52955.0,25.5,11.1,5040.0,9828.0,7805.0,1895.0,14.0,39.8
28.0,1.0,46533.0,34.3,10.4,15330.0,31547.0,12782.0,17855.0,183.0,41.0
28.0,25.0,52076.0,23.3,13.1,10631.0,19808.0,7845.0,11807.0,26.0,39.5
28.0,31.0,48334.0,24.4,10.5,9839.0,19091.0,11656.0,7215.0,28.0,37.7
28.0,53.0,43307.0,38.1,7.7,4549.0,8539.0,1848.0,6489.0,6.0,38.0
29.0,41.0,61690.0,11.9,12.1,3782.0,7546.0,7212.0,183.0,0.0,45.5
28.0,111.0,55077.0,18.7,8.5,6183.0,12028.0,9475.0,2368.0,17.0,40.9
28.0,19.0,49162.0,23.3,10.8,4147.0,8321.0,5631.0,2596.0,15.0,44.0
29.0,123.0,53417.0,15.6,10.1,6156.0,12205.0,11852.0,123.0,30.0,42.1
29.0,229.0,48630.0,24.9,7.1,9264.0,18293.0,17629.0,105.0,88.0,42.0
29.0,217.0,60319.0,13.6,10.5,10603.0,20691.0,19771.0,184.0,138.0,40.9
29.0,195.0,57578.0,16.3,11.4,11543.0,23102.0,19781.0,1090.0,204.0,38.0
29.0,147.0,58048.0,23.3,15.4,11322.0,22547.0,21111.0,637.0,310.0,29.2
29.0,79.0,56412.0,16.3,11.3,5133.0,10039.0,9618.0,52.0,36.0,40.8
29.0,141.0,52625.0,23.0,8.1,10192.0,20137.0,19279.0,161.0,183.0,46.1
29.0,223.0,44448.0,24.1,6.9,6764.0,13308.0,12868.0,74.0,45.0,47.3
29.0,17.0,53616.0,17.0,6.7,6141.0,12281.0,11970.0,68.0,41.0,44.1
29.0,31.0,68290.0,17.0,19.0,40392.0,78324.0,68709.0,5894.0,1244.0,36.6
29.0,205.0,56408.0,15.0,11.8,3014.0,6061.0,5868.0,117.0,9.0,41.5
29.0,225.0,59684.0,16.8,10.6,18646.0,38082.0,36436.0,437.0,142.0,37.1
29.0,5.0,60781.0,10.2,16.5,2655.0,5270.0,5150.0,20.0,21.0,48.3
29.0,13.0,65596.0,12.3,9.9,8360.0,16374.0,15637.0,238.0,37.0,41.8
29.0,15.0,54881.0,19.1,8.1,9635.0,18989.0,18259.0,54.0,13.0,53.3
29.0,35.0,55662.0,17.2,11.3,3187.0,6197.0,5900.0,3.0,0.0,41.0
29.0,57.0,51684.0,22.5,10.0,3706.0,7590.0,7236.0,21.0,11.0,46.4
29.0,115.0,57034.0,15.0,10.2,6325.0,12186.0,11783.0,70.0,36.0,42.1
29.0,91.0,51022.0,22.2,9.1,20462.0,40102.0,38602.0,188.0,178.0,40.6
29.0,101.0,63172.0,15.4,16.7,25974.0,53689.0,47847.0,2329.0,936.0,30.1
29.0,105.0,55565.0,15.0,10.7,17929.0,35507.0,33803.0,196.0,117.0,40.4
29.0,125.0,57199.0,16.2,10.1,4435.0,8884.0,8732.0,21.0,22.0,45.0
29.0,161.0,60887.0,22.3,16.4,21248.0,44789.0,40575.0,1206.0,1683.0,35.2
