CAGDP9 Real GDP by county and metropolitan area 1/,,,,,,,,,,,,,
(thousands of chained 2012 dollars) ,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",1,All industry total,128316045,131792356,132669480,137405833,143289193,151135822,155513808,160344031,164487230,171884061
40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",2,  Private industries,104093752,107602251,108933880,113477859,118877945,126037125,129244993,134094895,138128908,145147475
40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",1271595,1475910,1137421,1098184,1478534,1523365,1541613,1504196,1443111,1563179
40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",260022,233995,295277,281389,318575,303927,199474,219098,325079,319960
40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",10,    Utilities,2609432,2470669,3190601,2800553,2875021,2836946,2957616,2937365,2803203,2815109
40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",11,    Construction,5197434,5816011,6077507,6639280,6814233,7521235,8096527,8308743,8605911,8800524
40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",12,    Manufacturing,10558131,10903080,11631162,12141349,12148686,12601153,12459045,12416268,12798124,12819321
40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",13,      Durable goods manufacturing,6141786,6593931,6566894,6731429,6826934,7097771,7390430,7653020,7983172,7939068
40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",25,      Nondurable goods manufacturing,4422189,4300521,5064268,5409844,5322046,5503915,5077746,4779502,4833668,4898217
40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",34,    Wholesale trade,7337461,7757935,7770729,8787026,9882627,12221514,11598881,12653352,12656170,13057126
40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",35,    Retail trade,12335835,12329897,12021039,12536791,12338391,12684869,13117964,13771187,13972012,14680076
